Labels;no_failure;txt15_conveyor_failure_mode_driveshaft_slippage_failure;txt15_i1_lightbarrier_failure_mode_1;txt15_i1_lightbarrier_failure_mode_2;txt15_i3_lightbarrier_failure_mode_1;txt15_i3_lightbarrier_failure_mode_2;txt15_m1_t1_high_wear;txt15_m1_t1_low_wear;txt15_m1_t2_wear;txt15_pneumatic_leakage_failure_mode_1;txt15_pneumatic_leakage_failure_mode_2;txt15_pneumatic_leakage_failure_mode_3;txt16_conveyor_failure_mode_driveshaft_slippage_failure;txt16_conveyorbelt_big_gear_tooth_broken_failure;txt16_conveyorbelt_small_gear_tooth_broken_failure;txt16_i3_switch_failure_mode_2;txt16_i4_lightbarrier_failure_mode_1;txt16_m3_t1_high_wear;txt16_m3_t1_low_wear;txt16_m3_t2_wear;txt16_pneumatic_leakage_failure_mode_1;txt17_i1_switch_failure_mode_1;txt17_i1_switch_failure_mode_2;txt17_pneumatic_leakage_failure_mode_1;txt17_workingstation_transport_failure_mode_wout_workpiece;txt18_pneumatic_leakage_failure_mode_1;txt18_pneumatic_leakage_failure_mode_2;txt18_pneumatic_leakage_failure_mode_2_faulty;txt18_pneumatic_leakage_failure_mode_3_faulty;txt18_transport_failure_mode_wout_workpiece;txt19_i4_lightbarrier_failure_mode_1;txt19_i4_lightbarrier_failure_mode_2
no_failure;1;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0.2;0.2;0;0;0
txt15_conveyor_failure_mode_driveshaft_slippage_failure;0;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;0.7;0.7;1;1;1
txt15_i1_lightbarrier_failure_mode_1;0;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;0.7;0.7;1;1;1
txt15_i1_lightbarrier_failure_mode_2;0;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;0.7;0.7;1;1;1
txt15_i3_lightbarrier_failure_mode_1;0;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;0.7;0.7;1;1;1
txt15_i3_lightbarrier_failure_mode_2;0;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;0.7;0.7;1;1;1
txt15_m1_t1_high_wear;0;0.7;0.7;0.7;0.7;0.7;1;0.7;1;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;1;0.7;1;0.7;0.7;0.7;0.7;0.7;0.7;0.7;1;1;0.7;0.7;0.7
txt15_m1_t1_low_wear;0.2;0.5;0.5;0.5;0.5;0.5;0.7;1;0.7;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.7;1;0.7;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.7;0.7;0.5;0.5;0.5
txt15_m1_t2_wear;0;0.7;0.7;0.7;0.7;0.7;1;0.7;1;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;1;0.7;1;0.7;0.7;0.7;0.7;0.7;0.7;0.7;1;1;0.7;0.7;0.7
txt15_pneumatic_leakage_failure_mode_1;0;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;0.7;0.7;1;1;1
txt15_pneumatic_leakage_failure_mode_2;0;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;0.7;0.7;1;1;1
txt15_pneumatic_leakage_failure_mode_3;0;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;0.7;0.7;1;1;1
txt16_conveyor_failure_mode_driveshaft_slippage_failure;0;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;0.7;0.7;1;1;1
txt16_conveyorbelt_big_gear_tooth_broken_failure;0;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;0.7;0.7;1;1;1
txt16_conveyorbelt_small_gear_tooth_broken_failure;0;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;0.7;0.7;1;1;1
txt16_i3_switch_failure_mode_2;0;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;0.7;0.7;1;1;1
txt16_i4_lightbarrier_failure_mode_1;0;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;0.7;0.7;1;1;1
txt16_m3_t1_high_wear;0;0.7;0.7;0.7;0.7;0.7;1;0.7;1;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;1;0.7;1;0.7;0.7;0.7;0.7;0.7;0.7;0.7;1;1;0.7;0.7;0.7
txt16_m3_t1_low_wear;0.2;0.5;0.5;0.5;0.5;0.5;0.7;1;0.7;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.7;1;0.7;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.7;0.7;0.5;0.5;0.5
txt16_m3_t2_wear;0;0.7;0.7;0.7;0.7;0.7;1;0.7;1;0.7;0.7;0.7;0.7;0.7;0.7;0.7;0.7;1;0.7;1;0.7;0.7;0.7;0.7;0.7;0.7;0.7;1;1;0.7;0.7;0.7
txt16_pneumatic_leakage_failure_mode_1;0;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;0.7;0.7;1;1;1
txt17_i1_switch_failure_mode_1;0;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;0.7;0.7;1;1;1
txt17_i1_switch_failure_mode_2;0;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;0.7;0.7;1;1;1
txt17_pneumatic_leakage_failure_mode_1;0;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;0.7;0.7;1;1;1
txt17_workingstation_transport_failure_mode_wout_workpiece;0;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;0.7;0.7;1;1;1
txt18_pneumatic_leakage_failure_mode_1;0;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;0.7;0.7;1;1;1
txt18_pneumatic_leakage_failure_mode_2;0;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;0.7;0.7;1;1;1
txt18_pneumatic_leakage_failure_mode_2_faulty;0.2;0.5;0.5;0.5;0.5;0.5;1;0.7;1;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;1;0.7;1;0.5;0.5;0.5;0.5;0.5;0.5;0.5;1;1;0.5;0.5;0.5
txt18_pneumatic_leakage_failure_mode_3_faulty;0.2;0.5;0.5;0.5;0.5;0.5;1;0.7;1;0.5;0.5;0.5;0.5;0.5;0.5;0.5;0.5;1;0.7;1;0.5;0.5;0.5;0.5;0.5;0.5;0.5;1;1;0.5;0.5;0.5
txt18_transport_failure_mode_wout_workpiece;0;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;0.7;0.7;1;1;1
txt19_i4_lightbarrier_failure_mode_1;0;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;0.7;0.7;1;1;1
txt19_i4_lightbarrier_failure_mode_2;0;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;1;0.7;0.5;0.7;1;1;1;1;1;1;1;0.7;0.7;1;1;1
